,nominated_directors
0,Joseph L. Mankiewicz
1,George Cukor
2,John Huston
3,Carol Reed
4,Billy Wilder
5,George Stevens
6,John Huston
7,Elia Kazan
8,Vincente Minnelli
9,William Wyler
10,John Ford
11,Cecil B. DeMille
12,John Huston
13,Joseph L. Mankiewicz
14,Fred Zinnemann
15,Fred Zinnemann
16,George Stevens
17,Charles Walters
18,Billy Wilder
19,William Wyler
20,Elia Kazan
21,Alfred Hitchcock
22,George Seaton
23,William A. Wellman
24,Billy Wilder
25,Delbert Mann
26,Elia Kazan
27,David Lean
28,Joshua Logan
29,John Sturges
30,George Stevens
31,Michael Anderson
32,Walter Lang
33,King Vidor
34,William Wyler
35,David Lean
36,Joshua Logan
37,Sidney Lumet
38,Mark Robson
39,Billy Wilder
40,Vincente Minnelli
41,Richard Brooks
42,Stanley Kramer
43,Mark Robson
44,Robert Wise
45,William Wyler
46,Jack Clayton
47,George Stevens
48,Billy Wilder
49,Fred Zinnemann
50,Franklin J. Schaffner
51,Robert Altman
52,Federico Fellini
53,Arthur Hiller
54,Ken Russell
55,William Friedkin
56,Peter Bogdanovich
57,Norman Jewison
58,Stanley Kubrick
59,John Schlesinger
60,Bob Fosse
61,John Boorman
62,Francis Ford Coppola
63,Joseph L. Mankiewicz
64,Jan Troell
65,George Roy Hill
66,Ingmar Bergman
67,Bernardo Bertolucci
68,William Friedkin
69,George Lucas
70,Francis Ford Coppola
71,John Cassavetes
72,Bob Fosse
73,Roman Polanski
74,François Truffaut
75,Miloš Forman
76,Robert Altman
77,Federico Fellini
78,Stanley Kubrick
79,Sidney Lumet
80,John G. Avildsen
81,Ingmar Bergman
82,Sidney Lumet
83,Alan J. Pakula
84,Lina Wertmüller
85,Woody Allen
86,George Lucas
87,Herbert Ross
88,Steven Spielberg
89,Fred Zinnemann
90,Michael Cimino
91,Woody Allen
92,Hal Ashby
93,Warren Beatty
94,Alan Parker
95,Robert Benton
96,Francis Ford Coppola
97,Bob Fosse
98,Édouard Molinaro
99,Peter Yates
100,Robert Redford
101,David Lynch
102,Roman Polanski
103,Richard Rush
104,Martin Scorsese
105,Warren Beatty
106,Hugh Hudson
107,Louis Malle
108,Mark Rydell
109,Steven Spielberg
110,Richard Attenborough
111,Sidney Lumet
112,Wolfgang Petersen
113,Sydney Pollack
114,Steven Spielberg
115,James L. Brooks
116,Bruce Beresford
117,Ingmar Bergman
118,Mike Nichols
119,Peter Yates
120,Miloš Forman
121,Woody Allen
122,Robert Benton
123,Roland Joffé
124,David Lean
125,Sydney Pollack
126,Héctor Babenco
127,John Huston
128,Akira Kurosawa
129,Peter Weir
130,Oliver Stone
131,Woody Allen
132,James Ivory
133,Roland Joffé
134,David Lynch
135,Bernardo Bertolucci
136,John Boorman
137,Lasse Hallström
138,Norman Jewison
139,Adrian Lyne
140,Barry Levinson
141,Charles Crichton
142,Mike Nichols
143,Alan Parker
144,Martin Scorsese
145,Oliver Stone
146,Woody Allen
147,Kenneth Branagh
148,Jim Sheridan
149,Peter Weir
150,Kevin Costner
151,Francis Ford Coppola
152,Stephen Frears
153,Barbet Schroeder
154,Martin Scorsese
155,Jonathan Demme
156,Barry Levinson
157,Ridley Scott
158,John Singleton
159,Oliver Stone
160,Clint Eastwood
161,Robert Altman
162,Martin Brest
163,James Ivory
164,Neil Jordan
165,Steven Spielberg
166,Robert Altman
167,Jane Campion
168,James Ivory
169,Jim Sheridan
170,Robert Zemeckis
171,Woody Allen
172,Krzysztof Kieślowski
173,Robert Redford
174,Quentin Tarantino
175,Mel Gibson
176,Mike Figgis
177,Chris Noonan
178,Michael Radford
179,Tim Robbins
180,Anthony Minghella
181,Joel Coen
182,Miloš Forman
183,Scott Hicks
184,Mike Leigh
185,James Cameron
186,Peter Cattaneo
187,Atom Egoyan
188,Curtis Hanson
189,Gus Van Sant
190,Steven Spielberg
191,Roberto Benigni
192,John Madden
193,Terrence Malick
194,Peter Weir
195,Sam Mendes
196,Lasse Hallström
197,Spike Jonze
198,Michael Mann
199,M. Night Shyamalan
200,Steven Soderbergh
201,Stephen Daldry
202,Ang Lee
203,Ridley Scott
204,Steven Soderbergh
205,Ron Howard
206,Robert Altman
207,Peter Jackson
208,David Lynch
209,Ridley Scott
210,Roman Polanski
211,Pedro Almodóvar
212,Stephen Daldry
213,Rob Marshall
214,Martin Scorsese
215,Peter Jackson
216,Sofia Coppola
217,Clint Eastwood
218,Fernando Meirelles
219,Peter Weir
220,Clint Eastwood
221,Taylor Hackford
222,Mike Leigh
223,Alexander Payne
224,Martin Scorsese
225,Ang Lee
226,George Clooney
227,Paul Haggis
228,Bennett Miller
229,Steven Spielberg
230,Martin Scorsese
231,Clint Eastwood
232,Stephen Frears
233,Paul Greengrass
234,Alejandro González Iñárritu
235,Coen Brothers
236,Paul Thomas Anderson
237,Tony Gilroy
238,Jason Reitman
239,Julian Schnabel
240,Danny Boyle
241,Stephen Daldry
242,David Fincher
243,Ron Howard
244,Gus Van Sant
245,Kathryn Bigelow
246,James Cameron
247,Lee Daniels
248,Jason Reitman
249,Quentin Tarantino
250,Frank Borzage
251,Herbert Brenon
252,King Vidor
253,Lewis Milestone
254,Ted Wilde
255,Frank Lloyd
256,Lionel Barrymore
257,Harry Beaumont
258,Irving Cummings
259,Frank Lloyd
260,Weary River
261,Ernst Lubitsch
262,Lewis Milestone
263,Clarence Brown
264,Romance
265,Robert Z. Leonard
266,Ernst Lubitsch
267,King Vidor
268,Norman Taurog
269,Clarence Brown
270,Lewis Milestone
271,Wesley Ruggles
272,Josef von Sternberg
273,Frank Borzage
274,King Vidor
275,Josef von Sternberg
276,Frank Lloyd
277,Frank Capra
278,George Cukor
279,Frank Capra
280,Victor Schertzinger
281,W. S. Van Dyke
282,John Ford
283,Henry Hathaway
284,Frank Lloyd
285,Frank Capra
286,Gregory La Cava
287,Robert Z. Leonard
288,W. S. Van Dyke
289,William Wyler
290,Leo McCarey
291,William Dieterle
292,Sidney Franklin
293,Gregory La Cava
294,William A. Wellman
295,Frank Capra
296,Michael Curtiz
297,Four Daughters
298,Norman Taurog
299,King Vidor
300,Victor Fleming
301,Frank Capra
302,John Ford
303,Sam Wood
304,William Wyler
305,John Ford
306,George Cukor
307,Alfred Hitchcock
308,Sam Wood
309,William Wyler
310,John Ford
311,Alexander Hall
312,Howard Hawks
313,Orson Welles
314,William Wyler
315,William Wyler
316,Michael Curtiz
317,John Farrow
318,Mervyn LeRoy
319,Sam Wood
320,Michael Curtiz
321,Clarence Brown
322,Henry King
323,Ernst Lubitsch
324,George Stevens
325,Leo McCarey
326,Alfred Hitchcock
327,Henry King
328,Otto Preminger
329,Billy Wilder
330,Billy Wilder
331,Clarence Brown
332,Alfred Hitchcock
333,Leo McCarey
334,Jean Renoir
335,William Wyler
336,Clarence Brown
337,Frank Capra
338,David Lean
339,Robert Siodmak
340,Elia Kazan
341,George Cukor
342,Edward Dmytryk
343,Henry Koster
344,David Lean
345,John Huston
346,Anatole Litvak
347,Jean Negulesco
348,Laurence Olivier
349,Fred Zinnemann
350,Joseph L. Mankiewicz
351,Carol Reed
352,Robert Rossen
353,William A. Wellman
354,William Wyler
355,Billy Wilder
356,Jack Cardiff
357,Jules Dassin
358,Alfred Hitchcock
359,Fred Zinnemann
360,Jerome Robbins
361,Federico Fellini
362,Stanley Kramer
363,Robert Rossen
364,J. Lee Thompson
365,David Lean
366,Pietro Germi
367,Robert Mulligan
368,Arthur Penn
369,Frank Perry
370,Tony Richardson
371,Federico Fellini
372,Elia Kazan
373,Otto Preminger
374,Martin Ritt
375,George Cukor
376,Michael Cacoyannis
377,Peter Glenville
378,Stanley Kubrick
379,Robert Stevenson
380,Robert Wise
381,David Lean
382,John Schlesinger
383,Hiroshi Teshigahara
384,William Wyler
385,Fred Zinnemann
386,Michelangelo Antonioni
387,Richard Brooks
388,Claude Lelouch
389,Mike Nichols
390,Mike Nichols
391,Richard Brooks
392,Norman Jewison
393,Stanley Kramer
394,Arthur Penn
395,Carol Reed
396,Anthony Harvey
397,Stanley Kubrick
398,Gillo Pontecorvo
399,Franco Zeffirelli
400,John Schlesinger
401,Costa-Gavras
402,George Roy Hill
403,Arthur Penn
404,Sydney Pollack
405,Tom Hooper
406,Darren Aronofsky
407,Coen Brothers
408,David Fincher
409,David O. Russell
410,Michel Hazanavicius
411,Woody Allen
412,Terrence Malick
413,Alexander Payne
414,Martin Scorsese
415,Ang Lee
416,Michael Haneke
417,David O. Russell
418,Steven Spielberg
419,Benh Zeitlin
420,Alfonso Cuarón
421,Steve McQueen
422,Alexander Payne
423,David O. Russell
424,Martin Scorsese
425,Alejandro González Iñárritu
426,Wes Anderson
427,Richard Linklater
428,Bennett Miller
429,Morten Tyldum
430,Alejandro González Iñárritu
431,Lenny Abrahamson
432,Tom McCarthy
433,Adam McKay
434,George Miller
435,Damien Chazelle
436,Mel Gibson
437,Barry Jenkins
438,Kenneth Lonergan
439,Denis Villeneuve
440,Guillermo del Toro
441,Paul Thomas Anderson
442,Greta Gerwig
443,Christopher Nolan
444,Jordan Peele
445,Alfonso Cuarón
446,Yorgos Lanthimos
447,Spike Lee
448,Adam McKay
449,Paweł Pawlikowski
450,Bong Joon-ho
451,Sam Mendes
452,Todd Phillips
453,Martin Scorsese
454,Quentin Tarantino
455,Chloé Zhao
456,Lee Isaac Chung
457,Emerald Fennell
458,David Fincher
459,Thomas Vinterberg
